access,area,bridge,distance,from,hgv,highway,junction,lanes,maxspeed,name,oneway,ref,service,to,tunnel
,,,165.231877,2030988851,,residential,,,,West Landscape Place,no,,,1351495795,
,,,159.954983,2030988851,,residential,,,,West Landscape Place,no,,,2030988879,
,,,159.954983,2030988879,,residential,,,,West Landscape Place,no,,,2030988851,
,,,31.389002,80215375,,service,,,,,,,,80237299,
,,,31.389002,80237299,,service,,,,,,,,80215375,
,,,55.004642,80237299,,service,,,,,,,,80237307,
,,,55.004642,80237307,,service,,,,,,,,80237299,
,,,188.616865,80237307,,service,,,,,,,,80237336,
,,,188.616865,80237336,,service,,,,,,,,80237307,
,,,40.753392,80237336,,service,,,,,,,,80215368,
,,,40.753392,80215368,,service,,,,,,,,80237336,
,,,41.851838,80237336,,service,,,,,,,,80237360,
,,,41.851838,80237360,,service,,,,,,,,80237336,
,,,135.809924,80237360,,service,,,,,,,,80237299,
,,,135.809924,80237299,,service,,,,,,,,80237360,
,,,41.082212,80235530,,service,,,,,,,,80237401,
,,,41.082212,80237401,,service,,,,,,,,80235530,
,,,16.794738,80237401,,service,,,,,,,,80237403,
,,,16.794738,80237403,,service,,,,,,,,80237401,
,,,8.891966,80237403,,service,,,,,,,,2440985623,
,,,8.891966,2440985623,,service,,,,,,,,80237403,
,,,44.221223,80237467,,residential,,,,West Zephyr Place,,,,80237470,
,,,44.221223,80237470,,residential,,,,West Zephyr Place,,,,80237467,
,,,82.343722,80237504,,tertiary,,2,,West Ralph Rogers Road,no,,,80237506,
,,,82.343722,80237506,,tertiary,,2,,West Ralph Rogers Road,no,,,80237504,
,,,92.547191,80237506,,tertiary,,2,,West Ralph Rogers Road,no,,,80232255,
,,,92.547191,80232255,,tertiary,,2,,West Ralph Rogers Road,no,,,80237506,
,,,103.107467,80232255,,tertiary,,2,,West Ralph Rogers Road,no,,,80232220,
,,,103.107467,80232220,,tertiary,,2,,West Ralph Rogers Road,no,,,80232255,
,,,101.797267,80232220,,tertiary,,2,,West Ralph Rogers Road,no,,,80234551,
,,,101.797267,80234551,,tertiary,,2,,West Ralph Rogers Road,no,,,80232220,
,,,113.329275,80234551,,tertiary,,2,,West Ralph Rogers Road,no,,,669249902,
,,,113.329275,669249902,,tertiary,,2,,West Ralph Rogers Road,no,,,80234551,
,,,38.063603,669249902,,tertiary,,2,,West Ralph Rogers Road,no,,,80234612,
,,,38.063603,80234612,,tertiary,,2,,West Ralph Rogers Road,no,,,669249902,
,,,164.929858,80234612,,tertiary,,2,,West Ralph Rogers Road,no,,,80237513,
,,,164.929858,80237513,,tertiary,,2,,West Ralph Rogers Road,no,,,80234612,
,,,53.70046,80237513,,tertiary,,2,,West Ralph Rogers Road,no,,,80237517,
,,,53.70046,80237517,,tertiary,,2,,West Ralph Rogers Road,no,,,80237513,
,,,59.927931,80237517,,tertiary,,2,,West Ralph Rogers Road,no,,,80237525,
,,,59.927931,80237525,,tertiary,,2,,West Ralph Rogers Road,no,,,80237517,
,,,12.461483,80234430,,service,,,,,,,,80238577,
,,,12.461483,80238577,,service,,,,,,,,80234430,
,,,165.110715,80238577,,service,,,,,,,,80238579,
,,,165.110715,80238579,,service,,,,,,,,80238577,
,,,23.888393,80238636,,residential,,,,,,,,3103563186,
,,,23.888393,3103563186,,residential,,,,,,,,80238636,
,,,27.161713,3103563186,,residential,,,,,,,,80238640,
,,,27.161713,80238640,,residential,,,,,,,,3103563186,
,,,96.025711,80238640,,residential,,,,,,,,80238648,
,,,96.025711,80238648,,residential,,,,,,,,80238640,
,,,90.673198,80238648,,residential,,,,,,,,80238656,
,,,90.673198,80238656,,residential,,,,,,,,80238648,
,,,46.014308,80238656,,residential,,,,,,,,498701011,
,,,46.014308,498701011,,residential,,,,,,,,80238656,
,,,26.016333,80237470,,service,,,,,,,,80238676,
,,,26.016333,80238676,,service,,,,,,,,80237470,
,,,91.517419,80238921,,service,,,,,no,,driveway,80238928,
,,,91.517419,80238928,,service,,,,,no,,driveway,80238921,
,,,111.990992,80239039,,residential,,,,East 62nd Street,no,,,80239044,
,,,111.990992,80239044,,residential,,,,East 62nd Street,no,,,80239039,
,,,96.180991,80239044,,residential,,,,East 62nd Street,no,,,80224716,
,,,96.180991,80224716,,residential,,,,East 62nd Street,no,,,80239044,
,,,83.811828,80224716,,residential,,,,East 62nd Street,no,,,80239047,
,,,83.811828,80239047,,residential,,,,East 62nd Street,no,,,80224716,
,,,181.500336,4320400840,,service,,,,,,,driveway,80230157,
,,,181.500336,80230157,,service,,,,,,,driveway,4320400840,
,,,144.092787,80230798,,residential,,,,East Pinehurst Drive,,,,80239311,
,,,144.092787,80239311,,residential,,,,East Pinehurst Drive,,,,80230798,
,,,150.563018,80239311,,residential,,,,East Pinehurst Drive,,,,80239323,
,,,150.563018,80239323,,residential,,,,East Pinehurst Drive,,,,80239311,
private,,,74.632992,80236560,,service,,,,,,,,80236558,
private,,,74.632992,80236558,,service,,,,,,,,80236560,
